"Date","Location","Victim","Industry","Actor Location","Actor","Motive","Type","Sub-Type"
"2023-12-19","United States of America","Kimco Staffing Services","Administrative and Support and Waste Management and Remediation Services","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-18","Iran (Islamic Republic of)","Gas stations throughout Iran","Utilities","Israel","Predatory Sparrow","Sabotage","Disruptive","Physical Attack"
"2023-12-18","United States of America","Bellin Health","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-18","Ukraine","National Securities and Stock Market Commission in Ukraine","Public Administration","Russian Federation","NoName057(16)","Protest","Disruptive","External Denial of Service"
"2023-12-18","Ukraine","Accordbank","Finance and Insurance","Russian Federation","NoName057(16)","Protest","Disruptive","External Denial of Service"
"2023-12-18","Ukraine","Unex Bank","Finance and Insurance","Russian Federation","NoName057(16)","Protest","Disruptive","External Denial of Service"
"2023-12-18","Ukraine","Energy Community","Public Administration","Russian Federation","NoName057(16)","Protest","Disruptive","External Denial of Service"
"2023-12-18","Ukraine","Velta","Mining, Quarrying, and Oil and Gas Extraction","Russian Federation","NoName057(16)","Protest","Disruptive","External Denial of Service"
"2023-12-18","United States of America","Viking Therapeutics","Health Care and Social Assistance","Russian Federation","ALPHV","Financial","Mixed","Exploitation of Application Server"
"2023-12-17","United States of America","Biomatrix","Health Care and Social Assistance","Undetermined","Medusa","Financial","Mixed","Exploitation of Application Server"
"2023-12-16","Undetermined","NFT Trader","Finance and Insurance","Undetermined","Undetermined","Financial","Exploitive","Undetermined"
"2023-12-15","Nepal","Nepalese government officials","Public Administration","India","Sidewinder (a.k.a. Rattlesnake, BabyElephant, APT Q4, APT Q39, Hardcore Nationalist, HN2, RAZOR Tiger, and GroupA21)","Political-Espionage","Exploitive","Undetermined"
"2023-12-15","United States of America","Coos Health & Wellness","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-14","France","Ledger","Finance and Insurance","Undetermined","Undetermined","Financial","Mixed","Exploitation of Application Server"
"2023-12-14","United States of America","Kraft Heinz Company","Accommodation and Food Services","Undetermined","Snatch","Financial","Mixed","Exploitation of Application Server"
"2023-12-14","Israel","Organizations in israel","Undetermined","Iran (Islamic Republic of)","Ministry of Intelligence and Security (MOIS) (APT 34 OilRig)","Political-Espionage","Exploitive","Undetermined"
"2023-12-14","Palestine, State of","Organizations in Palestine","Undetermined","Palestine, State of","Gaza Cybergang","Espionage","Exploitive","Undetermined"
"2023-12-14","Estonia","Asper Biogene","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-14","United States of America","Talus Pay","Professional, Scientific, and Technical Services","Undetermined","Undetermined","Financial","Exploitive","Exploitation of End Host"
"2023-12-14","United States of America","Neurology Center of Nevada","Health Care and Social Assistance","Undetermined","Qilin","Financial","Mixed","Exploitation of Application Server"
"2023-12-13","Canada","London Public Library","Educational Services","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-13","United States of America","Insomniac Games,","Arts, Entertainment, and Recreation","Undetermined","Rhysida","Financial","Mixed","Exploitation of Application Server"
"2023-12-13","Germany","CMS","Professional, Scientific, and Technical Services","Undetermined","LockBit 3.0","Financial","Mixed","Exploitation of Application Server"
"2023-12-13","United States of America","Covenant Care","Health Care and Social Assistance","Undetermined","Hunters International","Financial","Mixed","Exploitation of Application Server"
"2023-12-13","United States of America","Petersen Health Care","Health Care and Social Assistance","Undetermined","Cactus","Financial","Mixed","Exploitation of Application Server"
"2023-12-13","United States of America","Greater Cincinnati Behavioral Health Services","Health Care and Social Assistance","Undetermined","DragonForce","Financial","Mixed","Exploitation of Application Server"
"2023-12-13","United States of America","Tulane University","Educational Services","Undetermined","Meow","Financial","Mixed","Exploitation of Application Server"
"2023-12-13","United States of America","VF Corporation","Manufacturing","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-13","United States of America","MongoDB","Professional, Scientific, and Technical Services","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-12","Ukraine","Kyivstar","Information","Undetermined","Undetermined","Sabotage","Disruptive","Undetermined"
"2023-12-12","Russian Federation","Russian Federal Taxation Service","Public Administration","Ukraine","Ukraine's defense intelligence directorate (GUR)","Sabotage","Mixed","Exploitation of Application Server"
"2023-12-12","Brazil","Grupo José Alves","Administrative and Support and Waste Management and Remediation Services","Undetermined","Rhysida","Financial","Mixed","Exploitation of Application Server"
"2023-12-12","United States of America","Memorial Sloan Kettering Cancer Center","Health Care and Social Assistance","Undetermined","Meow","Financial","Mixed","Exploitation of Application Server"
"2023-12-12","Italy","Westpole","Professional, Scientific, and Technical Services","Undetermined","LockBit 3.0","Financial","Mixed","Exploitation of Application Server"
"2023-12-12","Seychelles","OKX","Finance and Insurance","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-11","UAE","Unnamed set-top box provider in UAE","Information","Undetermined","Undetermined","Protest","Disruptive","Undetermined"
"2023-12-11","Ireland","Private group water scheme in the rural Erris area of County Mayo","Utilities","Iran (Islamic Republic of)","Islamic Revolutionary Guard Corps (IRGC)","Sabotage","Disruptive","Data Attack"
"2023-12-11","United States of America","Glendale Unified School District","Educational Services","Undetermined","Medusa","Financial","Mixed","Exploitation of Application Server"
"2023-12-11","United States of America","Hinsdale School District","Educational Services","Undetermined","Medusa","Financial","Mixed","Exploitation of Application Server"
"2023-12-11","United Kingdom of Great Britain and Northern Ireland","Newsquest","Information","Undetermined","Undetermined","Financial","Disruptive","Undetermined"
"2023-12-11","Lesotho","Central Bank of Lesotho","Finance and Insurance","Undetermined","Undetermined","Financial","Disruptive","Undetermined"
"2023-12-11","United States of America","Milton Town School District","Educational Services","Undetermined","Undetermined","Financial","Mixed","Exploitation of Application Server"
"2023-12-10","United States of America","City of Defiance","Public Administration","Undetermined","Knight","Financial","Mixed","Exploitation of Application Server"
"2023-12-10","Italy","Italian Istituto Poligrafico e Zecca dello Stato (IPZS)","Public Administration","Undetermined","Undetermined","Financial","Exploitive","Exploitation of End Host"
"2023-12-10","Sweden","EasyPark","Professional, Scientific, and Technical Services","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-08","Germany","Travian Games","Arts, Entertainment, and Recreation","Undetermined","Rhysida","Financial","Mixed","Exploitation of Application Server"
"2023-12-08","Lithuania","Kaunas University of Technology","Educational Services","Undetermined","Undetermined","Financial","Undetermined","Undetermined"
"2023-12-07","Thailand","Telecommunications companies predominantly in Thailand","Information","Undetermined","Undetermined","Political-Espionage","Mixed","Exploitation of Application Server"
"2023-12-07","Undetermined","Undisclosed franchise partner","Retail Trade","Undetermined","LockBit 3.0","Financial","Mixed","Exploitation of Application Server"
"2023-12-07","United States of America","Greater Richmond Transit Company","Transportation and Warehousing","Undetermined","Play","Financial","Mixed","Exploitation of Application Server"
"2023-12-07","Australia","University of Wollongong","Educational Services","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
